# Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Hyperpolarizability_zzz,Derivative_order_2_number_points_3_step_1_Energy_div_E_Field_Z,Derivative_order_2_number_points_3_step_2_Energy_div_E_Field_Z,Derivative_order_2_number_points_3_step_3_Energy_div_E_Field_Z,Derivative_order_2_number_points_3_step_4_Energy_div_E_Field_Z,Derivative_order_2_number_points_3_step_5_Energy_div_E_Field_Z,Derivative_order_2_number_points_3_step_6_Energy_div_E_Field_Z,Derivative_order_2_number_points_3_step_7_Energy_div_E_Field_Z,Derivative_order_2_number_points_3_step_8_Energy_div_E_Field_Z,Derivative_order_2_number_points_3_step_9_Energy_div_E_Field_Z,Derivative_order_2_number_points_3_step_10_Energy_div_E_Field_Z,Derivative_order_1_number_points_3_step_1_Derivative_order_2_number_points_3_step_5_Energy_div_E_Field_Z_div_E_Field_Z,Derivative_order_1_number_points_3_step_2_Derivative_order_2_number_points_3_step_5_Energy_div_E_Field_Z_div_E_Field_Z,Derivative_order_1_number_points_3_step_3_Derivative_order_2_number_points_3_step_5_Energy_div_E_Field_Z_div_E_Field_Z,Derivative_order_1_number_points_3_step_4_Derivative_order_2_number_points_3_step_5_Energy_div_E_Field_Z_div_E_Field_Z,Derivative_order_1_number_points_3_step_5_Derivative_order_2_number_points_3_step_5_Energy_div_E_Field_Z_div_E_Field_Z,Derivative_order_1_number_points_3_step_6_Derivative_order_2_number_points_3_step_5_Energy_div_E_Field_Z_div_E_Field_Z,Derivative_order_1_number_points_3_step_7_Derivative_order_2_number_points_3_step_5_Energy_div_E_Field_Z_div_E_Field_Z,Derivative_order_1_number_points_3_step_8_Derivative_order_2_number_points_3_step_5_Energy_div_E_Field_Z_div_E_Field_Z,Derivative_order_1_number_points_3_step_9_Derivative_order_2_number_points_3_step_5_Energy_div_E_Field_Z_div_E_Field_Z,Derivative_order_1_number_points_3_step_10_Derivative_order_2_number_points_3_step_5_Energy_div_E_Field_Z_div_E_Field_Z
lib_bnnt_M062X_Z-48.FChk,0.0,0.0,-0.0004800000000000002,-1286.9392250207,1.809564415101229,367.2578975052928,-1969.82673136309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-47.FChk,0.0,0.0,-0.0004700000000000002,-1286.939206943463,1.805891931877716,367.2390234756044,-1804.411224316963,-366.6999992546492951,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-46.FChk,0.0,0.0,-0.0004600000000000002,-1286.939188902896,1.802219629039548,367.221819695828,-1635.775239428722,-366.86000015606617414,-367.17250018192254002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-45.FChk,0.0,0.0,-0.0004500000000000002,-1286.939170899015,1.79854748978126,367.2063177173333,-1464.275145941051,-368.27000116090851672,-367.4650003726575522,-367.25777789274142773,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-44.FChk,0.0,0.0,-0.0004400000000000002,-1286.939152931961,1.794875496962188,367.1925425980301,-1290.394349181479,-366.4599990127470012,-367.08999978651840082,-367.12999998103315538,-367.18499997478997754,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-43.FChk,0.0,0.0,-0.0004300000000000002,-1286.939135001553,1.791203633130184,367.1805152024093,-1114.809423635562,-367.16999995967108417,-366.96249983148015478,-367.23111107583861457,-367.2068750459888622,-367.16200000341813534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-42.FChk,0.0,0.0,-0.0004200000000000002,-1286.939117107862,1.787531880767298,367.1702634764637,-938.4597574011935,-367.05000039383144952,-367.38750014420056852,-367.18333336812255405,-367.17687501575107545,-367.17480003112256468,-367.17750000963494578,nan,nan,nan,nan,-2039.9992806119369712,nan,nan,nan,nan,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-41.FChk,0.0,0.0,-0.0004100000000000002,-1286.939099250876,1.783860222251192,367.1617442743952,-762.6478979047239,-368.27999982946829088,-367.43750014833758707,-367.24444448429002116,-367.16312497298003192,-367.20279998903037408,-367.1875000042944438,-367.1687755196207192,nan,nan,nan,3880.0029855678982595,1130.0005375858289866,nan,nan,nan,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-40.FChk,0.0,0.0,-0.0004000000000000002,-1286.939081430718,1.780188640067588,367.1549877082862,-589.0908776635611,-366.14000054058231698,-366.84249998808476395,-367.01666668766582555,-367.11750001083836595,-367.0971999714112067,-367.12194444948270294,-367.14510205280573502,-367.13296876558770301,nan,nan,4300.0003557835949444,220.0006843366963769,346.66639941199894015,nan,nan,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-39.FChk,0.0,0.0,-0.0003900000000000002,-1286.939063647174,1.776517116798553,367.1499473816888,-420.0482001339531,-366.80999904170613096,-366.81499976376479882,-367.08555540955324725,-367.1056249265890972,-367.11679998191470217,-367.12527773991649765,-367.12959182931469213,-367.15359374300809447,-367.14456788895559405,nan,-3440.0016168945055057,1539.9992394239668664,793.33354688127982585,-20.000112585996652788,nan,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-38.FChk,0.0,0.0,-0.0003800000000000002,-1286.939045900311,1.772845635602241,367.1465625075978,-258.3884493739198,-367.5000004310646164,-367.3974999229833673,-367.13111106756457747,-367.1368749985636728,-367.16600000374909682,-367.14611113665264563,-367.15530611262506483,-367.1551562431373763,-367.165802480544116,-367.16790000612674957,-1220.0018769356612115,-750.00117246202945814,653.33294342265015686,-404.99992257943120427,-156.00010165244648037,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-37.FChk,0.0,0.0,-0.0003700000000000002,-1286.939028190198,1.769174180317836,367.1447433487834,-107.6586750394197,-367.7799997880907376,-367.3550000304818447,-367.22333334675320524,-367.16500000088339023,-367.1412000194534154,-367.1736111142490432,-367.15999999962012773,-367.15953125043090394,-367.1729629667325899,-367.16090000554027797,1939.9992719704271992,-1170.000762757810598,-1833.3342252951895751,314.9996930874230005,-115.9992102373041526,-216.66668459374489097,nan,nan,nan,nan
lib_bnnt_M062X_Z-36.FChk,0.0,0.0,-0.0003600000000000001,-1286.939010516863,1.765502735889688,367.1443589276136,27.88885840256756,-366.36000011470342283,-366.91000016021063793,-367.14666677244428142,-367.11187506589155194,-367.12720001830968788,-367.1263888881343156,-367.148775531567731,-367.1618750179868672,-367.139629630655942,-367.16130000780845893,-1119.999648579994757,-1030.0005294955692547,-1013.33386114464035893,-1114.9997591886175186,147.99983460989244502,160.00016126819758072,202.85741340688290921,nan,nan,nan
lib_bnnt_M062X_Z-35.FChk,0.0,0.0,-0.0003500000000000002,-1286.938992880164,1.761831288927591,367.1452340710649,143.335055776891,-367.1400006233153328,-367.1350001788124212,-367.07777792718406853,-367.19625007285796522,-367.16360001242501507,-367.15277781003148103,-367.17040818187269915,-367.15109376361057003,-367.16987656043058913,-367.14500000200426036,-4000.0003309615241804,-909.99985324910547313,-339.99913995330305186,-890.0002956835261459,-584.00040359173873783,576.66686241001148033,568.57185626312799376,-35.00005840706386354,nan,nan
