# Name,Electric_Field_Direction_Z,Energy,Dipole_Moment,Polarizability,Hyperpolarizability,Energy_derivative_order_1_3,Energy_derivative_order_2_3,Energy_derivative_order_3_5
lib_bnnt_M062X_Z-37.FChk,-0.0003700000000000002,-1286.939028190198,1.769174180317836,367.1447433487834,-107.6586750394197,1.769172400001277559,-367.7799997880907376,57000.015818429668855
lib_bnnt_M062X_Z-36.FChk,-0.0003600000000000001,-1286.939010516863,1.765502735889688,367.1443589276136,27.88885840256756,1.7655017000017992164,-366.36000011470342283,31999.958238771856353
lib_bnnt_M062X_Z-35.FChk,-0.0003500000000000002,-1286.938992880164,1.761831288927591,367.1452340710649,143.335055776891,1.7618341999980735679,-367.1400006233153328,-76999.96196208525255
lib_bnnt_M062X_Z-34.FChk,-0.0003400000000000001,-1286.938975280179,1.758159827802476,367.1471410064335,233.2422322385541,1.7581589999982227456,-367.89999935394520544,57999.993696713028715
lib_bnnt_M062X_Z-33.FChk,-0.0003300000000000002,-1286.938957716984,1.754488343632437,367.1497953389283,291.9294286879648,1.7544895999976707075,-365.9800007493811308,-43999.970333884254135
lib_bnnt_M062X_Z-32.FChk,-0.0003200000000000001,-1286.938940190387,1.750816830536465,367.1528570147528,313.9284147287104,1.7508158000001382237,-368.77999876061545168,14000.023362825682642
lib_bnnt_M062X_Z-31.FChk,-0.0003100000000000001,-1286.938922700668,1.747145286428738,367.1559358301314,294.6125347307413,1.7471434000049244864,-365.7000002821319489,22999.879778495817888
lib_bnnt_M062X_Z-30.FChk,-0.0003000000000000001,-1286.938905247519,1.743473713238055,367.158601501029,230.9730968966552,1.7434732999976885987,-368.32000116504553525,-72999.93942666558536
lib_bnnt_M062X_Z-29.FChk,-0.0002900000000000001,-1286.938887831202,1.739802117272569,367.1604054133533,122.4545326768138,1.7397958999965100444,-367.15999907066526076,145000.06750850498626
lib_bnnt_M062X_Z-28.FChk,-0.0002800000000000001,-1286.938870451601,1.736130509430943,367.1609088054984,-28.29899125852199,1.7361330000020823406,-365.41999981487543522,-122000.07670770670586
lib_bnnt_M062X_Z-27.FChk,-0.0002700000000000001,-1286.938853108542,1.732458904624479,367.1597186715884,-214.9967622012233,1.7324578999999838662,-369.60000060481939516,61500.02729299329204
lib_bnnt_M062X_Z-26.FChk,-0.0002600000000000001,-1286.938835802443,1.72878732177377,367.1565219495479,-427.7016730402085,1.7287889500006146911,-364.18999926901556924,-7999.9895596927195416
lib_bnnt_M062X_Z-25.FChk,-0.0002500000000000001,-1286.938818532763,1.725115781685656,367.1511210696179,-653.4266596381019,1.7251192000022895466,-369.76000039601324956,-91000.040836064474654
lib_bnnt_M062X_Z-24.FChk,-0.0002400000000000001,-1286.938801300059,1.721444306907116,367.1434600810292,-877.260644657391,1.7214403499998807958,-366.01000008573685893,106500.031016309974625
lib_bnnt_M062X_Z-23.FChk,-0.0002300000000000001,-1286.938784103956,1.717772919686809,367.1336337861576,-1083.849466968604,1.7177721500005736759,-367.62999977568704985,-6500.02274227290221
lib_bnnt_M062X_Z-22.FChk,-0.0002200000000000001,-1286.938766944616,1.714101640650859,367.1218885960155,-1258.950614228601,1.7141032999989923288,-366.14000054058231698,-27500.002275360194915
lib_bnnt_M062X_Z-21.FChk,-0.0002100000000000001,-1286.93874982189,1.710430487094421,367.1085993995536,-1390.750045509894,1.7104316999971834456,-368.17999982119425378,17500.056959107718932
lib_bnnt_M062X_Z-20.FChk,-0.0002000000000000001,-1286.938732735982,1.706759472149394,367.0942462567147,-1470.766123241451,1.7067618500010704732,-365.7899994014001626,2999.9336348396346632
lib_bnnt_M062X_Z-19.FChk,-0.0001900000000000001,-1286.938715686653,1.703088603911828,367.0793730056584,-1494.276496920381,1.7030922999983209848,-368.1200011484974611,-81499.97343664947527
lib_bnnt_M062X_Z-18.FChk,-0.0001800000000000001,-1286.938698674136,1.699417884586334,367.0645522900799,-1460.373598131037,1.6994145999982278315,-367.41999887013315226,109500.020162300840546
lib_bnnt_M062X_Z-17.FChk,-0.0001700000000000001,-1286.938681698361,1.695747310814355,367.05034786986,-1371.8090474062,1.6957478500001509082,-365.93000074525144405,-39000.025431334950746
lib_bnnt_M062X_Z-16.FChk,-0.0001600000000000001,-1286.938664759179,1.692076873803205,367.03727789724,-1234.81742960566,1.6920771999995308513,-368.19999937875985135,-22499.946350507110036
lib_bnnt_M062X_Z-15.FChk,-0.0001500000000000001,-1286.938647856817,1.688406560001169,367.0257814007532,-1059.053466405627,1.6884043000042757438,-366.3799996722615863,89499.90748519096355
lib_bnnt_M062X_Z-14.FChk,-0.0001400000000000001,-1286.938630991093,1.684736351871008,367.0161831633439,-857.7073453809065,1.6847403499997523165,-366.4100012290486915,-77499.95090122517667
lib_bnnt_M062X_Z-13.FChk,-0.00013,-1286.93861416201,1.681066229330943,367.0086563160353,-647.7618583946704,1.6810686500001724443,-367.92999869028613646,-52999.99328300940213
lib_bnnt_M062X_Z-12.FChk,-0.00012,-1286.93859736972,1.677396171868119,367.0031861302678,-450.2465834385842,1.6773916500012474322,-367.47000109471622004,74499.96175523663394
lib_bnnt_M062X_Z-11.FChk,-0.00011,-1286.938580614177,1.673726159612458,366.9995272467723,-290.1997550901143,1.6737220999985149562,-366.43999945518883934,6500.022742273100905
lib_bnnt_M062X_Z-10.FChk,-0.0001000000000000001,-1286.938563895278,1.670056176962662,366.9971631155294,-195.9495214157231,1.670053199998011083,-367.34000063986568188,66000.03876755382683
lib_bnnt_M062X_Z-9.FChk,-9.000000000000003e-05,-1286.938547213113,1.666386214699849,366.9952892124908,-197.2134359858068,1.6663909000014241771,-365.11999867983029935,-70500.05024211712106
lib_bnnt_M062X_Z-8.FChk,-8.000000000000003e-05,-1286.93853056746,1.662716273174183,366.9928074833204,-321.6523038634045,1.6627215499998031497,-368.75000164471386713,-97000.01912804651258
lib_bnnt_M062X_Z-7.FChk,-7.000000000000004e-05,-1286.938513958682,1.659046365011623,366.9883753214039,-589.9065006200494,1.6590424999962628461,-367.0599990623898479,121500.08776856609582
lib_bnnt_M062X_Z-6.FChk,-6.000000000000002e-05,-1286.93849738661,1.655376517062058,366.9805017297341,-1009.897373653318,1.6553756000015072725,-366.31999988934176896,-23000.046311949511662
lib_bnnt_M062X_Z-5.FChk,-5.000000000000002e-05,-1286.93848085117,1.651706771380149,366.9677010876303,-1572.092432750228,1.6517064000021174123,-367.51999998863021396,20000.001654807414484
lib_bnnt_M062X_Z-4.FChk,-4.000000000000002e-05,-1286.938464352482,1.648037183887457,366.9486793217562,-2247.884442832631,1.6480392000028916368,-365.9199998562450058,-54000.02667244037316
lib_bnnt_M062X_Z-3.FChk,-3.000000000000001e-05,-1286.938447890386,1.644367821717267,366.9225126530059,-2992.606300140345,1.6443666000010014092,-368.60000052207902432,36499.96971333279268
lib_bnnt_M062X_Z-2.FChk,-2.000000000000001e-05,-1286.93843146515,1.640698758946479,366.8887752969212,-3752.989314844663,1.6406976499960797293,-365.1900004619783511,60500.04941471325871
lib_bnnt_M062X_Z-1.FChk,-1e-05,-1286.938415076433,1.6370300711506,366.8475759302172,-4476.798615348313,1.6370347499961023001,-367.3899995337847559,-121999.965685404243345
lib_bnnt_M062X_Z+0.FChk,0.0,-1286.938398724455,1.633361830376473,366.7995053941959,-5121.423005882429,1.6333596499995549408,-367.62999977568704985,78499.984290658609346
lib_bnnt_M062X_Z+1.FChk,1e-05,-1286.93838240924,1.629694100865482,366.7455067771571,-5658.89181984281,1.6296924000014352668,-365.8199998479709689,17000.012508816504978
lib_bnnt_M062X_Z+2.FChk,2.000000000000001e-05,-1286.938366130607,1.626026936239389,366.6867279469058,-6076.676584609559,1.6260268500045692354,-367.28999952551071884,-2000.0667788622189577
lib_bnnt_M062X_Z+3.FChk,3.000000000000001e-05,-1286.938349888703,1.622360378292589,366.6243715955986,-6375.240492518994,1.6223611000010225632,-365.8600011835482132,61500.027292993134367
lib_bnnt_M062X_Z+4.FChk,4.000000000000002e-05,-1286.938333683385,1.618694456866202,366.5595887330329,-6564.073663825472,1.6187015000002079387,-366.05999897965085285,-145999.98987563363323
lib_bnnt_M062X_Z+5.FChk,5.000000000000002e-05,-1286.938317514673,1.615029191090602,366.4934070534185,-6657.707483047377,1.6150273000004043766,-368.78000098106150093,70999.983670105828914
lib_bnnt_M062X_Z+6.FChk,6.000000000000002e-05,-1286.938301382839,1.611364590447925,366.4266971813043,-6672.531135028575,1.6113601999989648224,-364.6399993062473694,99500.019334896583864
lib_bnnt_M062X_Z+7.FChk,7.000000000000004e-05,-1286.938285287469,1.607700656515066,366.3601652517324,-6624.666432626829,1.6077030499994663975,-366.79000059436431655,-77500.00641237897567
lib_bnnt_M062X_Z+8.FChk,8.000000000000003e-05,-1286.938269228778,1.604037384701117,366.2943635682198,-6528.761255180863,1.6040381499993204637,-366.1899994344963109,-3499.9780851308050316
lib_bnnt_M062X_Z+9.FChk,9.000000000000003e-05,-1286.938253206706,1.600374765438146,366.2297078803143,-6397.458057471951,1.6003729000013565354,-366.86000015606110067,40999.98118789385009
lib_bnnt_M062X_Z+10.FChk,0.0001000000000000001,-1286.93823722132,1.596712785763064,366.1664975065478,-6241.273611864269,1.5967117500015498573,-365.3699998107458307,12500.001034255016156
lib_bnnt_M062X_Z+11.FChk,0.00011,-1286.938221272471,1.593051429950191,366.1049373009573,-6068.722818666342,1.5930518500018030299,-366.61000013538108144,-30000.057993362352983
lib_bnnt_M062X_Z+12.FChk,0.00012,-1286.938205360283,1.58939068099172,366.0451548949798,-5886.540249076944,1.5893889499962730959,-365.9700009706056638,42000.070088477047925
lib_bnnt_M062X_Z+13.FChk,0.00013,-1286.938189484692,1.585730520712409,365.9872209864655,-5699.938898290125,1.5857302499977361602,-365.7699987336042128,-2500.0002068508518687
lib_bnnt_M062X_Z+14.FChk,0.0001400000000000001,-1286.938173645678,1.582070930360129,365.9311580764637,-5512.870476834975,1.5820712999992102381,-366.02000097474268234,14500.012301965621752
lib_bnnt_M062X_Z+15.FChk,0.0001500000000000001,-1286.938157843266,1.578411891313946,365.8769549462322,-5328.259577448697,1.5784138000018986633,-365.4799984875722279,-32500.002689062048535
lib_bnnt_M062X_Z+16.FChk,0.0001600000000000001,-1286.938142077402,1.574753385242867,365.8245768723926,-5148.201799064244,1.5747530500043181822,-366.67000102852392338,-0.11102230246251562352
lib_bnnt_M062X_Z+17.FChk,0.0001700000000000001,-1286.938126348205,1.571095394006812,365.7739708250359,-4974.147226965143,1.571092299995635471,-365.48000070801827716,84500.12911609403496
lib_bnnt_M062X_Z+18.FChk,0.0001800000000000001,-1286.938110655556,1.567437900065745,365.7250713856734,-4807.038119723605,1.567439999999864369,-364.9799984462020425,-66000.03876755520655
lib_bnnt_M062X_Z+19.FChk,0.0001900000000000001,-1286.938094999405,1.563780887006284,365.677805431587,-4647.428825746915,1.5637811000002165116,-366.80000148336938143,-15000.0012411055608625
lib_bnnt_M062X_Z+20.FChk,0.0002000000000000001,-1286.938079379934,1.560124338767594,365.6320963006257,-4495.580594919853,1.5601207000004445436,-365.27999847102415376,108499.98677286973107
lib_bnnt_M062X_Z+21.FChk,0.0002100000000000001,-1286.938063796991,1.556468240134182,365.5878674061613,-4351.536727234316,1.5564711499993498626,-364.63000174791198657,-68499.983463254902105
lib_bnnt_M062X_Z+22.FChk,0.0002200000000000001,-1286.938048250511,1.552812576788533,365.5450408082969,-4215.184275222537,1.552814749999908856,-366.64999814028925193,5500.044863993023989
lib_bnnt_M062X_Z+23.FChk,0.0002300000000000001,-1286.938032740696,1.549157334918553,365.5035394079004,-4086.301133480234,1.5491589000049542489,-364.5200008506321261,-10000.111849706169758
lib_bnnt_M062X_Z+24.FChk,0.0002400000000000001,-1286.938017267333,1.545502501765151,365.4632902410767,-3964.58950081179,1.5455020499988146711,-366.85000037728337535,10000.0563385549385
lib_bnnt_M062X_Z+25.FChk,0.0002500000000000001,-1286.938001830655,1.541848065172293,365.4242241002664,-3849.704243901999,1.5418461999983089488,-364.3199997238610273,42999.99245560569489
lib_bnnt_M062X_Z+26.FChk,0.0002600000000000001,-1286.937986430409,1.538194013567928,365.3862745670098,-3741.275726880167,1.538194649997048787,-365.99000052817126136,-30999.980360490999946
lib_bnnt_M062X_Z+27.FChk,0.0002700000000000001,-1286.937971066762,1.534540336175148,365.3493786571578,-3638.923027248932,1.5345399999977525761,-364.93999933107084738,41000.036699045938445
lib_bnnt_M062X_Z+28.FChk,0.0002800000000000001,-1286.937955739609,1.530887022734937,365.3134775622383,-3542.267309700668,1.5308894500021262699,-365.1699997941903425,-18500.034837387597152
lib_bnnt_M062X_Z+29.FChk,0.0002900000000000001,-1286.937940448973,1.527234063483892,365.2785161493771,-3450.938495272711,1.5272370500030162249,-365.31000002781859934,-55500.049001011560197
lib_bnnt_M062X_Z+30.FChk,0.0003000000000000001,-1286.937925194868,1.523581449403656,365.2444418716609,-3364.58276197695,1.5235790999990060787,-366.28000077421057384,46000.037112747792065
lib_bnnt_M062X_Z+31.FChk,0.0003100000000000001,-1286.937909977391,1.519929171836672,365.211208321859,-3282.862584606568,1.5199257499987072073,-364.3899992855636434,79500.01768008971882
lib_bnnt_M062X_Z+32.FChk,0.0003200000000000001,-1286.937894796353,1.516277222627843,365.1787703707071,-3205.465097935322,1.5162803500001611897,-364.69000042060147335,-127999.99948853336942
lib_bnnt_M062X_Z+33.FChk,0.0003300000000000002,-1286.937879651784,1.512625593928398,365.1470858256436,-3132.098751171818,1.5126221500017120036,-366.94999927534183387,72999.994937819048104
lib_bnnt_M062X_Z+34.FChk,0.0003400000000000001,-1286.93786454391,1.508974278499012,365.116115661234,-3062.496177240677,1.5089712500026956121,-363.2300005218451661,54999.949039567509853
lib_bnnt_M062X_Z+35.FChk,0.0003500000000000002,-1286.937849472359,1.505323269369643,365.0858238912623,-2996.412384992383,1.5053258499986440175,-365.85000029455042828,-56999.960307281888667
lib_bnnt_M062X_Z+36.FChk,0.0003600000000000001,-1286.937834437393,1.501672559935859,365.0561761119546,-2933.627356004225,1.5016747499985010019,-364.36999972799074632,22000.012922517742695
lib_bnnt_M062X_Z+37.FChk,0.0003700000000000002,-1286.937819438864,1.498022143758892,365.0271416457322,-2873.941060065835,1.4980258499996955575,-365.41000003609263644,-75000.00620552780431
lib_bnnt_M062X_Z+38.FChk,0.0003800000000000002,-1286.937804476876,1.494372015103918,364.998687444378,-2817.176274649506,1.4943694500002545509,-365.8699998521086021,49500.0151978785971
lib_bnnt_M062X_Z+39.FChk,0.0003900000000000002,-1286.937789551475,1.490722168174929,364.9707885840038,-2763.174703335501,1.4907180000023333323,-364.4199997321350644,47499.94841901637814
lib_bnnt_M062X_Z+40.FChk,0.0004000000000000002,-1286.937774662516,1.487072597605904,364.9434150230143,-2711.795785498762,1.4870712999992540153,-364.92000088372827443,-1499.9668174198173316
lib_bnnt_M062X_Z+41.FChk,0.0004100000000000002,-1286.937759810049,1.483423298180343,364.9165442033425,-2662.914217669686,1.4834244499994929564,-364.44999906848346075,4500.0114745619145102
lib_bnnt_M062X_Z+42.FChk,0.0004200000000000002,-1286.937744994027,1.479774265100855,364.8901639019119,-2616.417836548276,1.4797780500008793536,-364.83000065423703612,-38000.047553055072523
lib_bnnt_M062X_Z+43.FChk,0.0004300000000000002,-1286.937730214488,1.476125493700082,364.8642085244655,-2572.214191035813,1.4761278499975104452,-365.21000001954456227,-34499.958445621804977
lib_bnnt_M062X_Z+44.FChk,0.0004400000000000002,-1286.93771547147,1.472476979509999,364.8386979480616,-2530.205538815264,1.4724741999982969748,-365.5199998231494723,50499.99307615847532
lib_bnnt_M062X_Z+45.FChk,0.0004500000000000002,-1286.937700765004,1.468828718320211,364.8135973022953,-2490.309130592131,1.4688255999983911202,-364.20000015802139265,54500.01561158045072
lib_bnnt_M062X_Z+46.FChk,0.0004600000000000002,-1286.937686094958,1.465180706375682,364.7888848233012,-2452.443417397074,1.4651824500000464236,-364.42999951091786318,-50499.99307615847532
lib_bnnt_M062X_Z+47.FChk,0.0004700000000000002,-1286.937671461355,1.461532939454919,364.7645417771284,-2416.525208190387,1.4615342500023941111,-365.21000001954456227,-1.0
lib_bnnt_M062X_Z+48.FChk,0.0004800000000000002,-1286.937656864273,1.457885414267844,364.7405482124769,-2382.468152023041,-1.0,-1.0,-1.0
